"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","795","Create user","LMS service","Mon Dec 22 04:27:46 UTC 2025","passed","Mon Dec 22 04:27:47 UTC 2025","Create entity","Users","",""
"","58","Update courses","LMS service","Mon Dec 22 04:27:42 UTC 2025","passed","Mon Dec 22 04:27:42 UTC 2025","Update entity","Courses","",""
"","29","Update exercise","LMS service","Mon Dec 22 04:27:40 UTC 2025","passed","Mon Dec 22 04:27:40 UTC 2025","Update entity","Exercises","",""
"","808","Login with correct email and password","LMS service","Mon Dec 22 04:27:39 UTC 2025","passed","Mon Dec 22 04:27:39 UTC 2025","Login","Authentication","",""
"","293","Delete file","LMS service","Mon Dec 22 04:27:47 UTC 2025","passed","Mon Dec 22 04:27:47 UTC 2025","Delete entity","Files","",""
"","537","Get file with incorrect file id","LMS service","Mon Dec 22 04:27:46 UTC 2025","passed","Mon Dec 22 04:27:47 UTC 2025","Validate entity","Files","",""
"","29","Get file","LMS service","Mon Dec 22 04:27:45 UTC 2025","passed","Mon Dec 22 04:27:45 UTC 2025","Get entity","Files","",""
"","1110","Create user","LMS service","Mon Dec 22 04:27:45 UTC 2025","passed","Mon Dec 22 04:27:46 UTC 2025","Create entity","Users","",""
"","1367","Create user","LMS service","Mon Dec 22 04:27:45 UTC 2025","passed","Mon Dec 22 04:27:46 UTC 2025","Create entity","Users","",""
"","276","Create file","LMS service","Mon Dec 22 04:27:44 UTC 2025","passed","Mon Dec 22 04:27:45 UTC 2025","Create entity","Files","",""
"","33","Get exercise","LMS service","Mon Dec 22 04:27:42 UTC 2025","passed","Mon Dec 22 04:27:42 UTC 2025","Get entity","Exercises","",""
"","14","Get user me","LMS service","Mon Dec 22 04:27:47 UTC 2025","passed","Mon Dec 22 04:27:47 UTC 2025","Get entity","Users","",""
"","314","Create exercise","LMS service","Mon Dec 22 04:27:39 UTC 2025","passed","Mon Dec 22 04:27:40 UTC 2025","Create entity","Exercises","",""
"","52","Get courses","LMS service","Mon Dec 22 04:27:40 UTC 2025","passed","Mon Dec 22 04:27:40 UTC 2025","Get entity","Courses","",""
"","21","Get exercises","LMS service","Mon Dec 22 04:27:42 UTC 2025","passed","Mon Dec 22 04:27:42 UTC 2025","Get entities","Exercises","",""
"","19","Create courses","LMS service","Mon Dec 22 04:27:41 UTC 2025","passed","Mon Dec 22 04:27:41 UTC 2025","Create entity","Courses","",""
"","550","Create file with empty directory","LMS service","Mon Dec 22 04:27:44 UTC 2025","passed","Mon Dec 22 04:27:45 UTC 2025","Validate entity","Files","",""
"","24","Create file with empty filename","LMS service","Mon Dec 22 04:27:45 UTC 2025","passed","Mon Dec 22 04:27:45 UTC 2025","Validate entity","Files","",""
"","36","Delete exercise","LMS service","Mon Dec 22 04:27:42 UTC 2025","passed","Mon Dec 22 04:27:42 UTC 2025","Delete entity","Exercises","",""
